镇区,当日签约（套）,当日成交面积（㎡）,当日成交金额（万元）
东莞市樟木头镇,18,1828.07,3041.20
东莞市南城区,13,1505.10,2922.00
东莞市黄江镇,13,1777.00,2105.00
东莞市东城区,11,962.80,1389.70
东莞市石碣镇,8,628.52,531.70
东莞市大朗镇,8,965.19,1358.70
东莞市塘厦镇,8,24913.72,3677.00
东莞市虎门镇,7,986.14,2095.00
东莞市寮步镇,7,676.12,1261.80
东莞市凤岗镇,7,602.91,1242.80
东莞市常平镇,6,445.70,484.07
东莞市桥头镇,5,668.02,620.40
东莞市万江区,4,481.94,707.40
东莞市松山湖,4,373.61,980.00
东莞市大岭山镇,4,408.17,756.69
东莞市横沥镇,4,378.92,334.00
东莞市莞城区,3,208.77,195.00
东莞市洪梅镇,3,332.60,438.00
东莞市厚街镇,3,169.68,224.00
东莞市石龙镇,2,103.05,146.50
东莞市长安镇,2,206.74,480.00
东莞市企石镇,2,220.57,138.00
东莞市茶山镇,2,275.36,250.00
东莞市麻涌镇,1,148.88,250.00
东莞市高埗镇,1,105.70,200.00
东莞市道滘镇,1,92.80,160.00
东莞市沙田镇,1,107.58,172.00
东莞市清溪镇,1,144.27,30.00
东莞市中堂镇,0,0.00,0.00
东莞市望牛墩镇,0,0.00,0.00
东莞市谢岗镇,0,0.00,0.00
东莞市东坑镇,0,0.00,0.00
东莞市石排镇,0,0.00,0.00
东莞市虎门港,0,0.00,0.00
东莞市生态产业园,0,0.00,0.00
