镇区,当日签约（套）,当日成交面积（㎡）,当日成交金额（万元）
东莞市樟木头镇,22,1777.60,2112.50
东莞市南城区,19,1821.56,2652.80
东莞市凤岗镇,16,1362.95,2806.00
东莞市东城区,13,1245.13,1985.30
东莞市黄江镇,12,1018.49,1413.00
东莞市常平镇,12,1236.70,1522.20
东莞市石碣镇,10,1580.31,680.10
东莞市塘厦镇,10,869.90,1424.91
东莞市大朗镇,8,473.15,665.60
东莞市寮步镇,7,972.80,930.98
东莞市清溪镇,6,1104.25,797.94
东莞市茶山镇,5,399.16,448.07
东莞市桥头镇,4,325.86,353.00
东莞市莞城区,3,502.25,525.00
东莞市中堂镇,3,237.59,265.50
东莞市厚街镇,3,333.71,549.00
东莞市松山湖,3,337.33,786.00
东莞市万江区,2,90.92,139.90
东莞市石龙镇,2,92.20,58.50
东莞市虎门镇,2,134.83,171.00
东莞市麻涌镇,2,247.56,316.50
东莞市大岭山镇,2,192.30,347.00
东莞市望牛墩镇,1,140.10,180.00
东莞市横沥镇,1,107.07,99.00
东莞市东坑镇,1,89.08,105.00
东莞市石排镇,1,86.98,35.00
东莞市高埗镇,0,0.00,0.00
东莞市道滘镇,0,0.00,0.00
东莞市洪梅镇,0,0.00,0.00
东莞市长安镇,0,0.00,0.00
东莞市沙田镇,0,0.00,0.00
东莞市谢岗镇,0,0.00,0.00
东莞市企石镇,0,0.00,0.00
东莞市虎门港,0,0.00,0.00
东莞市生态产业园,0,0.00,0.00
