镇区,当日签约（套）,当日成交面积（㎡）,当日成交金额（万元）
东莞市樟木头镇,18,1388.92,1524.50
东莞市东城区,17,2086.09,3599.50
东莞市南城区,12,1087.11,1631.00
东莞市寮步镇,11,703.06,1140.30
东莞市黄江镇,9,1066.93,1295.00
东莞市常平镇,9,972.80,1069.30
东莞市大朗镇,8,565.22,803.30
东莞市凤岗镇,7,581.94,1155.80
东莞市虎门镇,5,925.63,1433.80
东莞市沙田镇,4,407.19,660.50
东莞市清溪镇,4,411.74,493.38
东莞市莞城区,3,235.31,324.30
东莞市万江区,3,272.93,558.00
东莞市塘厦镇,3,208.81,246.00
东莞市石排镇,3,518.95,636.60
东莞市麻涌镇,2,177.29,144.50
东莞市长安镇,2,168.67,194.00
东莞市松山湖,2,154.98,326.80
东莞市望牛墩镇,1,107.60,138.00
东莞市石碣镇,1,54.71,40.60
东莞市高埗镇,1,234.14,400.00
东莞市洪梅镇,1,81.42,122.00
东莞市厚街镇,1,177.12,315.00
东莞市大岭山镇,1,86.81,134.00
东莞市东坑镇,1,106.65,96.00
东莞市企石镇,1,95.91,88.82
东莞市石龙镇,0,0.00,0.00
东莞市中堂镇,0,0.00,0.00
东莞市道滘镇,0,0.00,0.00
东莞市谢岗镇,0,0.00,0.00
东莞市桥头镇,0,0.00,0.00
东莞市横沥镇,0,0.00,0.00
东莞市茶山镇,0,0.00,0.00
东莞市虎门港,0,0.00,0.00
东莞市生态产业园,0,0.00,0.00
