镇区,当日签约（套）,当日成交面积（㎡）,当日成交金额（万元）
东莞市樟木头镇,15,1193.51,1343.88
东莞市东城区,14,1657.05,3245.85
东莞市黄江镇,14,1345.17,2261.50
东莞市南城区,10,1170.26,2140.00
东莞市塘厦镇,10,1484.95,3007.68
东莞市寮步镇,7,412.06,710.50
东莞市常平镇,7,583.06,545.80
东莞市石碣镇,5,342.69,457.00
东莞市大朗镇,5,455.89,758.89
东莞市凤岗镇,5,400.81,699.70
东莞市莞城区,4,290.30,405.00
东莞市万江区,4,568.24,503.40
东莞市虎门镇,4,472.68,483.40
东莞市厚街镇,3,430.10,344.65
东莞市松山湖,3,199.91,572.50
东莞市大岭山镇,3,271.46,541.86
东莞市桥头镇,3,293.21,266.00
东莞市横沥镇,3,820.37,286.00
东莞市石龙镇,2,82.82,125.00
东莞市中堂镇,2,164.86,251.90
东莞市麻涌镇,2,85.78,98.00
东莞市企石镇,2,114.68,87.00
东莞市茶山镇,2,131.31,115.00
东莞市望牛墩镇,1,103.46,118.00
东莞市长安镇,1,90.84,273.00
东莞市沙田镇,1,99.55,140.00
东莞市清溪镇,1,149.55,230.00
东莞市东坑镇,1,303.51,301.80
东莞市石排镇,1,107.66,146.00
东莞市高埗镇,0,0.00,0.00
东莞市道滘镇,0,0.00,0.00
东莞市洪梅镇,0,0.00,0.00
东莞市谢岗镇,0,0.00,0.00
东莞市虎门港,0,0.00,0.00
东莞市生态产业园,0,0.00,0.00
