镇区,当日签约（套）,当日成交面积（㎡）,当日成交金额（万元）
东莞市樟木头镇,15,1246.38,1543.30
东莞市常平镇,12,1019.54,888.00
东莞市松山湖,9,815.64,1748.00
东莞市东城区,8,641.45,814.22
东莞市虎门镇,8,583.77,692.80
东莞市南城区,7,783.50,1044.40
东莞市黄江镇,7,790.06,1053.80
东莞市大朗镇,5,354.77,558.00
东莞市茶山镇,5,616.73,542.90
东莞市寮步镇,4,309.37,640.90
东莞市塘厦镇,4,309.34,366.00
东莞市桥头镇,4,405.02,401.60
东莞市麻涌镇,3,274.87,393.00
东莞市石碣镇,3,231.80,290.00
东莞市莞城区,2,230.15,509.00
东莞市石龙镇,2,305.60,61.00
东莞市长安镇,2,106.38,101.00
东莞市凤岗镇,2,211.81,520.80
东莞市清溪镇,2,217.42,328.60
东莞市横沥镇,2,269.88,268.00
东莞市企石镇,2,325.10,88.00
东莞市万江区,1,47.97,40.00
东莞市道滘镇,1,13.25,8.00
东莞市大岭山镇,1,83.16,173.00
东莞市东坑镇,1,330.13,70.00
东莞市石排镇,1,92.93,35.00
东莞市中堂镇,0,0.00,0.00
东莞市望牛墩镇,0,0.00,0.00
东莞市高埗镇,0,0.00,0.00
东莞市洪梅镇,0,0.00,0.00
东莞市沙田镇,0,0.00,0.00
东莞市厚街镇,0,0.00,0.00
东莞市谢岗镇,0,0.00,0.00
东莞市虎门港,0,0.00,0.00
东莞市生态产业园,0,0.00,0.00
