镇区,当日签约（套）,当日成交面积（㎡）,当日成交金额（万元）
东莞市南城区,17,1359.14,2908.58
东莞市东城区,14,1246.43,1394.40
东莞市樟木头镇,14,1802.54,1337.38
东莞市黄江镇,10,811.94,1116.20
东莞市虎门镇,7,571.77,695.00
东莞市沙田镇,7,679.08,706.80
东莞市寮步镇,6,6012.52,1195.52
东莞市常平镇,6,516.46,562.00
东莞市横沥镇,6,524.63,444.50
东莞市石碣镇,5,887.01,515.50
东莞市大朗镇,4,293.45,513.00
东莞市凤岗镇,3,554.50,1672.50
东莞市万江区,2,103.60,195.00
东莞市石龙镇,2,316.79,442.00
东莞市洪梅镇,2,145.27,165.00
东莞市长安镇,2,156.53,274.00
东莞市松山湖,2,258.23,610.00
东莞市桥头镇,2,248.74,236.00
东莞市东坑镇,2,182.20,185.60
东莞市茶山镇,2,195.61,235.00
东莞市莞城区,1,134.28,234.00
东莞市中堂镇,1,115.40,178.80
东莞市望牛墩镇,1,112.29,143.60
东莞市道滘镇,1,107.61,154.00
东莞市厚街镇,1,87.63,93.65
东莞市大岭山镇,1,200.81,200.00
东莞市塘厦镇,1,74.35,120.00
东莞市清溪镇,1,65.51,114.77
东莞市石排镇,1,106.53,110.00
东莞市麻涌镇,0,0.00,0.00
东莞市高埗镇,0,0.00,0.00
东莞市谢岗镇,0,0.00,0.00
东莞市企石镇,0,0.00,0.00
东莞市虎门港,0,0.00,0.00
东莞市生态产业园,0,0.00,0.00
