镇区,当日签约（套）,当日成交面积（㎡）,当日成交金额（万元）
东莞市樟木头镇,21,2063.70,1578.67
东莞市南城区,18,1550.33,2372.00
东莞市东城区,16,1820.35,3336.10
东莞市黄江镇,16,1668.10,2459.10
东莞市寮步镇,9,956.55,1126.30
东莞市塘厦镇,9,830.53,1498.59
东莞市常平镇,9,1374.28,1802.50
东莞市石碣镇,7,518.31,555.00
东莞市凤岗镇,7,621.74,1079.20
东莞市大朗镇,6,599.97,782.30
东莞市石龙镇,5,396.39,272.07
东莞市虎门镇,5,478.54,871.00
东莞市松山湖,5,637.28,1505.00
东莞市万江区,3,215.04,163.00
东莞市麻涌镇,3,304.46,412.12
东莞市厚街镇,3,490.24,468.50
东莞市莞城区,2,166.98,202.00
东莞市高埗镇,2,417.50,660.00
东莞市横沥镇,2,101.19,88.00
东莞市道滘镇,1,48.88,33.00
东莞市洪梅镇,1,132.20,193.80
东莞市长安镇,1,113.92,143.00
东莞市大岭山镇,1,95.25,186.00
东莞市清溪镇,1,45.23,60.00
东莞市茶山镇,1,134.40,155.00
东莞市中堂镇,0,0.00,0.00
东莞市望牛墩镇,0,0.00,0.00
东莞市沙田镇,0,0.00,0.00
东莞市谢岗镇,0,0.00,0.00
东莞市桥头镇,0,0.00,0.00
东莞市东坑镇,0,0.00,0.00
东莞市企石镇,0,0.00,0.00
东莞市石排镇,0,0.00,0.00
东莞市虎门港,0,0.00,0.00
东莞市生态产业园,0,0.00,0.00
