镇区,当日签约（套）,当日成交面积（㎡）,当日成交金额（万元）
东莞市樟木头镇,40,3245.23,3120.65
东莞市黄江镇,17,1680.80,2170.19
东莞市凤岗镇,12,1090.08,2108.30
东莞市南城区,8,545.60,964.00
东莞市寮步镇,8,623.28,663.40
东莞市东城区,7,722.24,740.50
东莞市大朗镇,7,745.24,749.10
东莞市常平镇,7,514.27,596.80
东莞市莞城区,6,658.12,1060.50
东莞市塘厦镇,5,444.11,770.80
东莞市万江区,4,264.97,257.80
东莞市洪梅镇,3,345.55,405.80
东莞市石龙镇,2,132.40,70.00
东莞市虎门镇,2,142.38,71.00
东莞市石碣镇,1,60.72,10.00
东莞市厚街镇,1,87.69,157.00
东莞市松山湖,1,77.39,90.00
东莞市桥头镇,1,130.46,150.00
东莞市横沥镇,1,39.40,15.00
东莞市企石镇,1,158.17,150.00
东莞市茶山镇,1,98.06,137.50
东莞市中堂镇,0,0.00,0.00
东莞市望牛墩镇,0,0.00,0.00
东莞市麻涌镇,0,0.00,0.00
东莞市高埗镇,0,0.00,0.00
东莞市道滘镇,0,0.00,0.00
东莞市长安镇,0,0.00,0.00
东莞市沙田镇,0,0.00,0.00
东莞市大岭山镇,0,0.00,0.00
东莞市谢岗镇,0,0.00,0.00
东莞市清溪镇,0,0.00,0.00
东莞市东坑镇,0,0.00,0.00
东莞市石排镇,0,0.00,0.00
东莞市虎门港,0,0.00,0.00
东莞市生态产业园,0,0.00,0.00
