镇区,当日签约（套）,当日成交面积（㎡）,当日成交金额（万元）
东莞市东城区,17,2208.93,4006.70
东莞市樟木头镇,14,1159.52,1299.10
东莞市南城区,12,1123.85,2004.00
东莞市黄江镇,12,1287.91,2186.50
东莞市塘厦镇,11,960.88,1670.90
东莞市常平镇,8,532.88,507.00
东莞市松山湖,6,966.03,1673.00
东莞市凤岗镇,5,460.60,1062.56
东莞市莞城区,4,272.01,205.00
东莞市万江区,4,360.56,391.60
东莞市厚街镇,4,882.69,1245.00
东莞市寮步镇,4,419.90,507.00
东莞市桥头镇,4,780.46,399.80
东莞市大朗镇,3,175.73,286.00
东莞市清溪镇,3,397.15,388.26
东莞市虎门镇,2,151.67,83.00
东莞市高埗镇,2,160.89,277.00
东莞市长安镇,2,256.20,584.80
东莞市大岭山镇,2,369.37,716.80
东莞市企石镇,2,160.65,147.75
东莞市石排镇,2,98.62,107.50
东莞市茶山镇,2,184.56,267.00
东莞市石龙镇,1,66.10,16.80
东莞市望牛墩镇,1,113.85,183.00
东莞市麻涌镇,1,96.59,90.00
东莞市石碣镇,1,54.71,45.00
东莞市中堂镇,0,0.00,0.00
东莞市道滘镇,0,0.00,0.00
东莞市洪梅镇,0,0.00,0.00
东莞市沙田镇,0,0.00,0.00
东莞市谢岗镇,0,0.00,0.00
东莞市横沥镇,0,0.00,0.00
东莞市东坑镇,0,0.00,0.00
东莞市虎门港,0,0.00,0.00
东莞市生态产业园,0,0.00,0.00
