镇区,当日签约（套）,当日成交面积（㎡）,当日成交金额（万元）
东莞市樟木头镇,25,2202.81,2523.10
东莞市东城区,17,1756.22,3756.30
东莞市黄江镇,17,1494.97,2357.25
东莞市南城区,14,1286.88,3030.20
东莞市石碣镇,10,842.79,616.16
东莞市寮步镇,7,937.91,816.50
东莞市大朗镇,7,600.68,820.45
东莞市凤岗镇,5,379.44,904.00
东莞市万江区,4,215.17,231.20
东莞市松山湖,4,899.28,2244.00
东莞市塘厦镇,4,463.05,718.00
东莞市莞城区,3,410.58,531.00
东莞市石龙镇,3,79.64,60.60
东莞市虎门镇,3,305.80,439.00
东莞市麻涌镇,3,292.08,278.80
东莞市大岭山镇,3,267.79,526.00
东莞市常平镇,3,224.85,247.00
东莞市望牛墩镇,2,189.98,128.00
东莞市沙田镇,2,188.88,279.00
东莞市厚街镇,2,416.73,538.00
东莞市清溪镇,2,137.60,183.00
东莞市横沥镇,2,166.52,187.50
东莞市道滘镇,1,207.26,319.00
东莞市洪梅镇,1,133.06,220.00
东莞市长安镇,1,382.76,750.00
东莞市桥头镇,1,92.73,110.00
东莞市东坑镇,1,124.09,229.00
东莞市茶山镇,1,58.70,57.00
东莞市中堂镇,0,0.00,0.00
东莞市高埗镇,0,0.00,0.00
东莞市谢岗镇,0,0.00,0.00
东莞市企石镇,0,0.00,0.00
东莞市石排镇,0,0.00,0.00
东莞市虎门港,0,0.00,0.00
东莞市生态产业园,0,0.00,0.00
