镇区,当日签约（套）,当日成交面积（㎡）,当日成交金额（万元）
东莞市樟木头镇,25,2076.33,2357.50
东莞市东城区,19,2253.16,3287.14
东莞市南城区,18,1614.33,3176.80
东莞市大朗镇,10,1194.71,1598.80
东莞市凤岗镇,8,1355.71,3244.20
东莞市塘厦镇,7,1050.71,2170.00
东莞市黄江镇,6,582.00,832.80
东莞市松山湖,5,329.00,771.62
东莞市寮步镇,5,474.05,801.50
东莞市清溪镇,5,459.21,586.10
东莞市常平镇,5,305.75,297.00
东莞市万江区,4,304.88,453.60
东莞市厚街镇,4,777.14,1725.00
东莞市横沥镇,4,324.14,365.00
东莞市虎门镇,3,182.08,381.00
东莞市中堂镇,3,209.66,232.50
东莞市望牛墩镇,3,305.41,375.00
东莞市石碣镇,3,220.61,105.00
东莞市石龙镇,2,167.64,200.00
东莞市长安镇,2,89.39,125.00
东莞市莞城区,1,71.05,53.00
东莞市麻涌镇,1,94.32,166.00
东莞市桥头镇,1,100.12,100.00
东莞市企石镇,1,89.20,61.00
东莞市高埗镇,0,0.00,0.00
东莞市道滘镇,0,0.00,0.00
东莞市洪梅镇,0,0.00,0.00
东莞市沙田镇,0,0.00,0.00
东莞市大岭山镇,0,0.00,0.00
东莞市谢岗镇,0,0.00,0.00
东莞市东坑镇,0,0.00,0.00
东莞市石排镇,0,0.00,0.00
东莞市茶山镇,0,0.00,0.00
东莞市虎门港,0,0.00,0.00
东莞市生态产业园,0,0.00,0.00
