镇区,当日签约（套）,当日成交面积（㎡）,当日成交金额（万元）
东莞市东城区,19,2133.46,6177.30
东莞市樟木头镇,18,1564.59,1789.00
东莞市南城区,17,1150.77,2041.60
东莞市大朗镇,14,1383.49,1628.08
东莞市常平镇,10,944.11,875.50
东莞市凤岗镇,8,930.96,1683.00
东莞市塘厦镇,7,830.50,1027.48
东莞市横沥镇,7,545.65,521.28
东莞市莞城区,6,634.71,575.00
东莞市万江区,6,643.95,716.30
东莞市虎门镇,6,544.23,730.39
东莞市松山湖,6,1197.30,3724.00
东莞市寮步镇,5,369.56,572.00
东莞市清溪镇,5,419.03,517.77
东莞市石碣镇,4,329.53,369.00
东莞市黄江镇,4,284.52,295.80
东莞市石龙镇,3,203.18,193.88
东莞市沙田镇,3,121.82,145.50
东莞市大岭山镇,3,124.31,190.01
东莞市麻涌镇,2,190.81,238.00
东莞市洪梅镇,2,263.74,490.00
东莞市长安镇,2,145.97,255.08
东莞市石排镇,2,202.62,174.90
东莞市望牛墩镇,1,99.76,130.80
东莞市道滘镇,1,232.53,30.00
东莞市厚街镇,1,108.87,107.00
东莞市茶山镇,1,108.94,174.30
东莞市中堂镇,0,0.00,0.00
东莞市高埗镇,0,0.00,0.00
东莞市谢岗镇,0,0.00,0.00
东莞市桥头镇,0,0.00,0.00
东莞市东坑镇,0,0.00,0.00
东莞市企石镇,0,0.00,0.00
东莞市虎门港,0,0.00,0.00
东莞市生态产业园,0,0.00,0.00
