镇区,当日签约（套）,当日成交面积（㎡）,当日成交金额（万元）
东莞市东城区,22,2240.33,4757.98
东莞市黄江镇,20,1844.47,2663.60
东莞市樟木头镇,18,1972.95,2478.30
东莞市南城区,14,1018.96,1703.67
东莞市塘厦镇,11,919.13,1537.79
东莞市凤岗镇,9,1196.92,2540.30
东莞市虎门镇,6,953.13,1865.50
东莞市常平镇,6,1032.39,580.10
东莞市桥头镇,6,833.29,912.00
东莞市石龙镇,5,322.44,297.60
东莞市松山湖,5,603.89,1348.80
东莞市寮步镇,5,366.67,802.50
东莞市中堂镇,4,376.29,380.00
东莞市大朗镇,4,448.08,1010.00
东莞市石排镇,4,302.28,397.00
东莞市莞城区,3,255.14,213.00
东莞市万江区,3,180.34,227.00
东莞市麻涌镇,3,255.50,123.00
东莞市石碣镇,3,293.13,341.00
东莞市厚街镇,3,289.32,451.70
东莞市茶山镇,3,231.90,309.00
东莞市望牛墩镇,2,188.69,217.00
东莞市高埗镇,2,206.30,313.49
东莞市道滘镇,2,205.17,163.00
东莞市大岭山镇,2,279.12,218.00
东莞市清溪镇,2,101.83,118.00
东莞市长安镇,1,12.25,20.00
东莞市横沥镇,1,93.23,10.00
东莞市洪梅镇,0,0.00,0.00
东莞市沙田镇,0,0.00,0.00
东莞市谢岗镇,0,0.00,0.00
东莞市东坑镇,0,0.00,0.00
东莞市企石镇,0,0.00,0.00
东莞市虎门港,0,0.00,0.00
东莞市生态产业园,0,0.00,0.00
