镇区,当日签约（套）,当日成交面积（㎡）,当日成交金额（万元）
东莞市樟木头镇,20,1698.73,2227.80
东莞市凤岗镇,15,1131.48,2054.20
东莞市东城区,11,1157.08,1959.00
东莞市黄江镇,11,984.00,1492.42
东莞市常平镇,8,1251.76,731.80
东莞市松山湖,7,433.98,1319.60
东莞市大朗镇,7,512.19,612.46
东莞市南城区,6,651.99,1305.00
东莞市万江区,5,403.10,445.90
东莞市石碣镇,5,449.48,646.80
东莞市莞城区,4,295.08,304.00
东莞市茶山镇,4,368.25,297.20
东莞市石龙镇,3,257.65,275.00
东莞市虎门镇,3,788.77,1105.80
东莞市长安镇,3,268.55,416.00
东莞市寮步镇,3,849.77,335.00
东莞市塘厦镇,3,214.96,344.00
东莞市望牛墩镇,2,200.50,233.00
东莞市高埗镇,2,202.70,114.00
东莞市大岭山镇,2,169.58,255.00
东莞市清溪镇,2,700.98,172.00
东莞市道滘镇,1,92.77,160.00
东莞市厚街镇,1,95.09,169.00
东莞市桥头镇,1,116.08,96.38
东莞市横沥镇,1,88.48,118.00
东莞市石排镇,1,114.79,40.00
东莞市中堂镇,0,0.00,0.00
东莞市麻涌镇,0,0.00,0.00
东莞市洪梅镇,0,0.00,0.00
东莞市沙田镇,0,0.00,0.00
东莞市谢岗镇,0,0.00,0.00
东莞市东坑镇,0,0.00,0.00
东莞市企石镇,0,0.00,0.00
东莞市虎门港,0,0.00,0.00
东莞市生态产业园,0,0.00,0.00
