镇区,当日签约（套）,当日成交面积（㎡）,当日成交金额（万元）
东莞市东城区,14,1255.12,1735.77
东莞市樟木头镇,13,1114.23,1203.58
东莞市南城区,11,1286.11,2224.00
东莞市黄江镇,6,595.21,896.00
东莞市虎门镇,5,312.40,463.20
东莞市石碣镇,5,460.95,448.20
东莞市凤岗镇,5,307.90,565.80
东莞市莞城区,4,271.76,171.29
东莞市万江区,4,167.86,239.00
东莞市松山湖,4,455.56,1034.00
东莞市寮步镇,4,382.96,736.39
东莞市石龙镇,3,14191.57,1960.00
东莞市麻涌镇,3,278.24,388.00
东莞市长安镇,3,549.88,503.00
东莞市塘厦镇,3,492.45,557.00
东莞市横沥镇,3,286.72,268.00
东莞市中堂镇,2,210.84,260.00
东莞市厚街镇,2,138.32,104.00
东莞市大朗镇,2,134.65,250.00
东莞市常平镇,2,125.86,173.00
东莞市桥头镇,2,463.17,590.00
东莞市大岭山镇,1,143.90,330.00
东莞市清溪镇,1,152.76,290.00
东莞市茶山镇,1,84.88,103.00
东莞市望牛墩镇,0,0.00,0.00
东莞市高埗镇,0,0.00,0.00
东莞市道滘镇,0,0.00,0.00
东莞市洪梅镇,0,0.00,0.00
东莞市沙田镇,0,0.00,0.00
东莞市谢岗镇,0,0.00,0.00
东莞市东坑镇,0,0.00,0.00
东莞市企石镇,0,0.00,0.00
东莞市石排镇,0,0.00,0.00
东莞市虎门港,0,0.00,0.00
东莞市生态产业园,0,0.00,0.00
