镇区,当日签约（套）,当日成交面积（㎡）,当日成交金额（万元）
东莞市樟木头镇,20,1595.64,1906.50
东莞市黄江镇,13,1090.57,1858.30
东莞市东城区,12,810.87,1068.00
东莞市南城区,9,989.02,1830.50
东莞市常平镇,6,555.13,605.00
东莞市横沥镇,6,558.40,499.00
东莞市万江区,5,691.33,546.40
东莞市石龙镇,5,321.21,176.00
东莞市塘厦镇,5,551.97,501.00
东莞市望牛墩镇,4,502.72,619.80
东莞市石碣镇,4,303.36,446.50
东莞市寮步镇,4,363.33,368.00
东莞市大朗镇,4,396.25,735.30
东莞市莞城区,3,381.18,338.80
东莞市虎门镇,3,296.24,511.50
东莞市松山湖,3,263.20,708.00
东莞市大岭山镇,3,246.85,574.00
东莞市凤岗镇,3,208.90,497.60
东莞市桥头镇,3,337.54,299.70
东莞市长安镇,2,154.40,162.00
东莞市石排镇,2,77.50,41.00
东莞市茶山镇,2,240.92,208.60
东莞市中堂镇,1,79.24,64.10
东莞市麻涌镇,1,40.00,3.00
东莞市道滘镇,1,74.74,105.00
东莞市洪梅镇,1,98.13,143.00
东莞市厚街镇,1,12.00,12.00
东莞市清溪镇,1,99.81,30.00
东莞市高埗镇,0,0.00,0.00
东莞市沙田镇,0,0.00,0.00
东莞市谢岗镇,0,0.00,0.00
东莞市东坑镇,0,0.00,0.00
东莞市企石镇,0,0.00,0.00
东莞市虎门港,0,0.00,0.00
东莞市生态产业园,0,0.00,0.00
