镇区,当日签约（套）,当日成交面积（㎡）,当日成交金额（万元）
东莞市东城区,23,2056.40,3410.66
东莞市樟木头镇,21,1854.18,2174.46
东莞市黄江镇,9,782.60,947.50
东莞市南城区,8,506.74,1176.00
东莞市寮步镇,7,492.99,882.00
东莞市凤岗镇,6,449.71,884.50
东莞市虎门镇,5,546.95,648.00
东莞市常平镇,5,360.68,340.80
东莞市横沥镇,5,410.66,342.98
东莞市大朗镇,4,392.66,486.10
东莞市塘厦镇,4,466.15,702.00
东莞市莞城区,3,212.11,157.00
东莞市松山湖,3,190.68,458.00
东莞市万江区,2,390.00,111.60
东莞市石龙镇,2,234.83,308.00
东莞市中堂镇,2,152.27,200.09
东莞市石碣镇,2,216.08,209.00
东莞市道滘镇,2,317.03,151.80
东莞市洪梅镇,2,164.79,189.68
东莞市沙田镇,2,189.85,250.00
东莞市麻涌镇,1,56.50,1.00
东莞市高埗镇,1,106.46,115.00
东莞市长安镇,1,49.99,50.00
东莞市清溪镇,1,118.92,190.00
东莞市东坑镇,1,12.00,14.00
东莞市茶山镇,1,201.57,298.00
东莞市望牛墩镇,0,0.00,0.00
东莞市厚街镇,0,0.00,0.00
东莞市大岭山镇,0,0.00,0.00
东莞市谢岗镇,0,0.00,0.00
东莞市桥头镇,0,0.00,0.00
东莞市企石镇,0,0.00,0.00
东莞市石排镇,0,0.00,0.00
东莞市虎门港,0,0.00,0.00
东莞市生态产业园,0,0.00,0.00
