镇区,当日签约（套）,当日成交面积（㎡）,当日成交金额（万元）
东莞市樟木头镇,16,2013.05,1325.39
东莞市东城区,15,1507.81,2458.98
东莞市南城区,13,1396.37,3024.00
东莞市黄江镇,11,1218.05,1731.30
东莞市虎门镇,9,900.34,1250.00
东莞市寮步镇,8,751.19,1299.30
东莞市万江区,7,533.16,618.50
东莞市常平镇,6,657.63,582.80
东莞市莞城区,5,475.36,610.50
东莞市凤岗镇,5,458.90,864.00
东莞市塘厦镇,4,325.78,437.00
东莞市横沥镇,4,269.71,276.20
东莞市松山湖,3,356.12,860.00
东莞市石龙镇,2,201.25,223.00
东莞市石碣镇,2,93.63,102.00
东莞市洪梅镇,2,189.58,258.00
东莞市大朗镇,2,220.50,248.00
东莞市清溪镇,2,217.42,261.00
东莞市桥头镇,2,196.96,205.00
东莞市中堂镇,1,122.56,133.00
东莞市麻涌镇,1,120.43,200.00
东莞市高埗镇,1,103.06,134.00
东莞市道滘镇,1,182.10,290.00
东莞市长安镇,1,46.74,45.00
东莞市沙田镇,1,138.28,118.00
东莞市厚街镇,1,76.98,142.80
东莞市大岭山镇,1,142.34,289.00
东莞市茶山镇,1,163.46,247.00
东莞市望牛墩镇,0,0.00,0.00
东莞市谢岗镇,0,0.00,0.00
东莞市东坑镇,0,0.00,0.00
东莞市企石镇,0,0.00,0.00
东莞市石排镇,0,0.00,0.00
东莞市虎门港,0,0.00,0.00
东莞市生态产业园,0,0.00,0.00
