镇区,当日签约（套）,当日成交面积（㎡）,当日成交金额（万元）
东莞市凤岗镇,18,1501.34,2687.10
东莞市东城区,15,1131.44,1302.20
东莞市樟木头镇,15,1334.04,1740.30
东莞市南城区,10,857.59,1248.50
东莞市寮步镇,10,5848.21,1527.52
东莞市石碣镇,8,618.06,605.00
东莞市大朗镇,7,713.37,932.50
东莞市黄江镇,7,625.82,913.80
东莞市常平镇,7,555.16,564.70
东莞市莞城区,4,246.43,258.50
东莞市万江区,3,274.61,185.25
东莞市虎门镇,3,330.79,505.88
东莞市清溪镇,3,161.37,221.00
东莞市桥头镇,3,500.05,206.20
东莞市石龙镇,2,222.81,256.00
东莞市长安镇,2,206.04,300.00
东莞市松山湖,2,273.80,770.00
东莞市谢岗镇,2,316.33,298.00
东莞市麻涌镇,1,101.99,135.00
东莞市道滘镇,1,101.68,110.00
东莞市沙田镇,1,156.44,90.00
东莞市厚街镇,1,49.13,75.00
东莞市塘厦镇,1,87.40,93.00
东莞市横沥镇,1,106.07,127.00
东莞市中堂镇,0,0.00,0.00
东莞市望牛墩镇,0,0.00,0.00
东莞市高埗镇,0,0.00,0.00
东莞市洪梅镇,0,0.00,0.00
东莞市大岭山镇,0,0.00,0.00
东莞市东坑镇,0,0.00,0.00
东莞市企石镇,0,0.00,0.00
东莞市石排镇,0,0.00,0.00
东莞市茶山镇,0,0.00,0.00
东莞市虎门港,0,0.00,0.00
东莞市生态产业园,0,0.00,0.00
