镇区,当日签约（套）,当日成交面积（㎡）,当日成交金额（万元）
东莞市樟木头镇,22,1792.22,2350.30
东莞市黄江镇,15,1486.25,1838.50
东莞市东城区,14,2099.57,3985.50
东莞市凤岗镇,12,1101.61,2149.50
东莞市南城区,11,689.08,867.80
东莞市寮步镇,10,818.81,1184.82
东莞市莞城区,7,509.66,772.30
东莞市常平镇,7,530.71,544.80
东莞市石碣镇,6,535.08,640.00
东莞市松山湖,6,875.77,2096.08
东莞市大朗镇,6,594.35,566.57
东莞市塘厦镇,6,518.41,892.50
东莞市万江区,5,405.37,703.90
东莞市大岭山镇,5,580.61,1168.00
东莞市桥头镇,5,572.24,548.80
东莞市虎门镇,4,431.34,831.00
东莞市石排镇,3,303.60,255.80
东莞市望牛墩镇,2,240.44,345.00
东莞市道滘镇,2,136.44,199.00
东莞市茶山镇,2,192.11,290.00
东莞市沙田镇,1,53.82,65.60
东莞市厚街镇,1,12.50,10.10
东莞市清溪镇,1,88.52,136.00
东莞市横沥镇,1,76.48,78.00
东莞市东坑镇,1,90.33,139.50
东莞市石龙镇,0,0.00,0.00
东莞市中堂镇,0,0.00,0.00
东莞市麻涌镇,0,0.00,0.00
东莞市高埗镇,0,0.00,0.00
东莞市洪梅镇,0,0.00,0.00
东莞市长安镇,0,0.00,0.00
东莞市谢岗镇,0,0.00,0.00
东莞市企石镇,0,0.00,0.00
东莞市虎门港,0,0.00,0.00
东莞市生态产业园,0,0.00,0.00
