镇区,当日签约（套）,当日成交面积（㎡）,当日成交金额（万元）
东莞市樟木头镇,15,1217.23,1616.80
东莞市南城区,13,1059.66,1746.60
东莞市东城区,11,1519.49,2740.54
东莞市寮步镇,11,967.45,1625.78
东莞市大朗镇,10,706.41,892.16
东莞市凤岗镇,10,987.67,1787.60
东莞市常平镇,10,940.65,814.50
东莞市黄江镇,9,934.27,1077.50
东莞市麻涌镇,6,660.89,814.50
东莞市虎门镇,4,379.47,597.00
东莞市石龙镇,3,228.92,193.00
东莞市松山湖,3,260.12,364.60
东莞市大岭山镇,3,239.62,437.00
东莞市塘厦镇,3,417.46,995.67
东莞市厚街镇,2,131.68,40.50
东莞市清溪镇,2,179.01,93.00
东莞市望牛墩镇,1,99.79,115.00
东莞市石碣镇,1,121.76,180.00
东莞市道滘镇,1,107.73,149.00
东莞市长安镇,1,258.79,50.00
东莞市沙田镇,1,154.29,200.00
东莞市横沥镇,1,77.44,84.00
东莞市企石镇,1,149.87,172.00
东莞市石排镇,1,391.50,900.00
东莞市茶山镇,1,107.13,132.00
东莞市莞城区,0,0.00,0.00
东莞市万江区,0,0.00,0.00
东莞市中堂镇,0,0.00,0.00
东莞市高埗镇,0,0.00,0.00
东莞市洪梅镇,0,0.00,0.00
东莞市谢岗镇,0,0.00,0.00
东莞市桥头镇,0,0.00,0.00
东莞市东坑镇,0,0.00,0.00
东莞市虎门港,0,0.00,0.00
东莞市生态产业园,0,0.00,0.00
