镇区,当日签约（套）,当日成交面积（㎡）,当日成交金额（万元）
东莞市樟木头镇,21,2332.83,3325.80
东莞市东城区,14,1381.63,1825.60
东莞市南城区,12,1476.39,3610.90
东莞市黄江镇,11,1070.11,1510.90
东莞市塘厦镇,8,699.60,1002.02
东莞市虎门镇,7,565.13,608.50
东莞市凤岗镇,6,496.94,889.00
东莞市常平镇,6,1012.86,707.18
东莞市万江区,5,659.55,411.80
东莞市寮步镇,5,445.70,708.30
东莞市大朗镇,5,368.48,524.30
东莞市松山湖,4,273.61,718.50
东莞市厚街镇,3,458.04,870.93
东莞市莞城区,2,169.26,178.00
东莞市中堂镇,2,65.24,30.00
东莞市望牛墩镇,2,189.62,250.00
东莞市道滘镇,2,183.53,283.00
东莞市大岭山镇,2,215.25,363.40
东莞市清溪镇,2,700.03,93.00
东莞市横沥镇,2,155.50,165.80
东莞市茶山镇,2,425.75,456.00
东莞市石碣镇,1,115.42,125.00
东莞市长安镇,1,138.92,10.00
东莞市沙田镇,1,154.25,160.00
东莞市桥头镇,1,107.69,120.00
东莞市石龙镇,0,0.00,0.00
东莞市麻涌镇,0,0.00,0.00
东莞市高埗镇,0,0.00,0.00
东莞市洪梅镇,0,0.00,0.00
东莞市谢岗镇,0,0.00,0.00
东莞市东坑镇,0,0.00,0.00
东莞市企石镇,0,0.00,0.00
东莞市石排镇,0,0.00,0.00
东莞市虎门港,0,0.00,0.00
东莞市生态产业园,0,0.00,0.00
