镇区,当日签约（套）,当日成交面积（㎡）,当日成交金额（万元）
东莞市樟木头镇,22,2281.35,1801.90
东莞市东城区,14,1368.89,2006.30
东莞市横沥镇,10,895.01,702.80
东莞市南城区,8,908.09,1863.20
东莞市虎门镇,8,624.32,900.89
东莞市望牛墩镇,7,679.38,808.60
东莞市寮步镇,7,664.50,917.00
东莞市莞城区,6,526.39,716.30
东莞市黄江镇,6,696.96,1068.50
东莞市万江区,5,305.05,400.20
东莞市石碣镇,5,416.59,354.00
东莞市大朗镇,5,701.59,1016.29
东莞市常平镇,5,446.62,416.80
东莞市凤岗镇,4,178.43,389.96
东莞市塘厦镇,4,431.21,892.00
东莞市石龙镇,3,287.18,286.00
东莞市麻涌镇,2,125.31,101.00
东莞市道滘镇,2,104.66,154.00
东莞市厚街镇,2,180.48,216.60
东莞市大岭山镇,2,238.37,355.00
东莞市东坑镇,2,128.11,161.00
东莞市中堂镇,1,125.05,147.20
东莞市长安镇,1,84.99,191.50
东莞市沙田镇,1,51.40,54.80
东莞市松山湖,1,165.65,415.00
东莞市企石镇,1,131.12,122.00
东莞市茶山镇,1,103.92,145.00
东莞市高埗镇,0,0.00,0.00
东莞市洪梅镇,0,0.00,0.00
东莞市谢岗镇,0,0.00,0.00
东莞市清溪镇,0,0.00,0.00
东莞市桥头镇,0,0.00,0.00
东莞市石排镇,0,0.00,0.00
东莞市虎门港,0,0.00,0.00
东莞市生态产业园,0,0.00,0.00
